gene_id,category,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os06g0660200,Auxin responsive gene,-0.284551936399774,0.86875978947199,-1.49303326020313,0.0001384740305646,False,True
Os04g0671900,Auxin responsive gene,-0.388705342519071,0.437669028386358,-1.57886796678656,1.3091228116315201e-15,False,True
Os01g0856500,Auxin responsive gene,-0.331703826206192,0.643744551956677,-1.20606656534661,2.36044166100283e-07,False,True
Os06g0232300,Auxin responsive gene,-0.487441525527458,0.572238198552894,-1.5001353214301,9.11979256300283e-07,False,True
Os02g0743400,Auxin responsive gene,-0.493622910675655,0.395892571075718,-1.34153461148127,1.9997394642409e-08,False,True
Os12g0601400,Auxin responsive gene,-0.49633872214635,0.672966190824972,-1.76545245255268,1.8547330612248e-06,False,True
Os06g0597000,Auxin responsive gene,-0.241560219557384,0.678846490199497,-1.08702908459905,2.11703526482686e-09,False,True
Os12g0133800,Auxin responsive gene,-0.989262497759803,0.42424361844906,-3.05140296099639,2.21178323064589e-09,False,True
Os03g0742900,Auxin responsive gene,-0.665828395498804,0.303725666897138,-1.46874977972613,2.8733840325425e-07,False,True
Os03g0633500,Auxin responsive gene,-0.610925505104081,0.628542748280973,-1.95476411284886,3.29101122858131e-06,False,True
Os11g0137000,Auxin responsive gene,-1.05440851119682,0.354677637405718,-3.22545306417527,4.02612803445986e-11,False,True
Os01g0802700,Auxin responsive gene,0.374962443172959,0.867905511465683,-0.877632990043039,0.112100372659857,False,False
Os04g0608300,Auxin responsive gene,0.422545074701583,0.722990405736873,-1.02897964844802,0.0044872742131379,False,True
Os02g0805100,Auxin responsive gene,0.108680540033765,0.943781523638379,-0.0215687431628292,0.964757638334428,False,False
Os02g0817600,Auxin responsive gene,0.13040159627266,0.828116026323114,0.190926763445775,0.243381746266148,False,False
Os01g0231000,Auxin responsive gene,-0.447747936236279,0.0488773587228916,-0.324307018907759,0.011445360805633,True,True
Os05g0230700,Auxin responsive gene,-0.426377310100929,0.0490949576570256,-0.0468260287663882,0.75514471030382,True,False
Os03g0179950,Jasmonate responsive gene,-0.965527827631919,0.320352097092801,-0.713068386331548,0.114150736130559,False,False
Os04g0653000,Jasmonate responsive gene,-0.628575313315867,0.106330798553934,-0.834448579415069,3.51005908560442e-05,False,True
Os09g0439200,Jasmonate responsive gene,-1.00441407553062,0.23541212744206,-0.940238026149753,0.0206592467650842,False,True
Os07g0153000,Jasmonate responsive gene,0.442311545096787,,-3.16372349700312,0.290865695405927,False,False
Os03g0181100,Jasmonate responsive gene,0.226449281525319,0.961727811088207,-0.817802837391456,0.249466020185067,False,False
Os03g0767000,Jasmonate responsive gene,-0.988791951776123,0.117437280970646,-0.806265844515745,0.015941798137789,False,True
Os03g0438100,Jasmonate responsive gene,-0.491884495105893,0.299356030380601,-0.948854009782046,6.68728201616451e-06,False,True
Os04g0397000,Jasmonate responsive gene,-0.380348729762597,0.457263476349772,-1.03384297338829,2.58799465864284e-07,False,True
Os08g0459600,Jasmonate responsive gene,-0.584274569018775,0.0067083698383777,0.172690697072933,0.22070320962554,True,False
Os03g0225900,Jasmonate responsive gene,1.15127153335517,0.800955528870125,1.97178922996147,0.0594615898666158,False,True
Os03g0180900,Jasmonate responsive gene,0.161639511467583,0.953550397892131,-0.296614012603796,0.513215422695498,False,False
Os06g0216300,Jasmonate responsive gene,1.3689276376824,3.13058720835967e-10,0.258269472219124,0.113126497152402,True,False
Os03g0180800,Jasmonate responsive gene,0.733158449674257,0.831258283453302,1.36613975456971,0.132900685489444,False,False
Os01g0221100,Jasmonate responsive gene,0.905606398530876,0.459581030335174,2.03154429645084,2.26550708794065e-05,False,True
Os01g0853400,Jasmonate responsive gene,0.170183817081069,0.740472375252407,0.817818192074973,3.12303184651298e-08,False,True
Os05g0586200,Jasmonate responsive gene,0.147577674369829,0.842314523115546,0.62758597501119,0.0004728671367324,False,True
Os03g0402800,Jasmonate responsive gene,-0.122160567320173,0.839350968729972,0.266720786986015,0.0834529556553778,False,True
Os07g0615200,Jasmonate responsive gene,-0.121199316154412,0.855139309781012,0.428702169362013,0.0065463370052451,False,True
Os03g0741100,Jasmonate responsive gene,0.67551753006697,0.327688477175949,1.64256800301312,3.93932080650876e-08,False,True
Os10g0392400,Jasmonate responsive gene,-0.0246902855524561,1.0,1.49242365133475,0.001426312966323,False,True
Os10g0391400,Jasmonate responsive gene,0.910674144784649,0.887594614374962,-1.11277246364388,0.503394487106731,False,False
Os03g0179900,Jasmonate responsive gene,0.0439743632990508,0.984071237265713,-0.250327489983428,0.231414820929383,False,False
Os03g0707600,Jasmonate responsive gene,-0.178581639339881,0.743882381586774,-0.453479923915788,0.0047353201479415,False,True
Os11g0658700,Jasmonate responsive gene,-1.79048187332037,,2.85678498305326,0.126025509395058,False,False
Os08g0499300,Jasmonate responsive gene,1.58024332603396,2.89311859438222e-12,0.24764902021651,0.159110586920478,True,False
Os10g0533600,Jasmonate responsive gene,-0.100007796610071,0.837663162616413,-0.0089707626807962,0.970739780066225,False,False
Os01g0235700,Jasmonate responsive gene,-0.0973752269427629,0.867138912642663,0.290922571138106,0.0340183965649397,False,True
Os10g0575000,Jasmonate responsive gene,0.0061988798294317,1.0,0.25980039524609,0.0369441319209542,False,True
Os01g0248900,Cell wall responsive gene,0.360785714586106,0.867110529828202,-0.966630452252566,0.0579038425079308,False,True
Os09g0518200,Cell wall responsive gene,1.89513015401222,5.427617112491e-08,0.786194433285094,0.0013513286801089,True,True
Os06g0108600,Cell wall responsive gene,-2.43975442003878,8.80161600068509e-05,-3.26746350792496,5.84329397909988e-16,True,True
Os03g0822000,Cell wall responsive gene,-0.627229096642349,0.653384100453952,-2.03873640681614,6.75838521175862e-06,False,True
Os08g0237000,Cell wall responsive gene,-0.697124123235483,0.367298908086999,-1.65132845420514,3.88778121704244e-07,False,True
Os10g0556100,Cell wall responsive gene,-0.332026267128966,0.840742028718272,-2.22908436960216,1.8345253703075e-08,False,True
Os11g0539200,Cell wall responsive gene,-0.926419153920904,0.463105717963147,-2.40143139494447,1.11328931752648e-06,False,True
Os03g0301200,Cell wall responsive gene,-0.239569112969165,0.697862183266081,-0.986519037451312,1.66035307277108e-07,False,True
Os10g0397400,Cell wall responsive gene,-0.476758984149914,0.517386422702904,-1.0841452451119,8.62749893730688e-05,False,True
Os03g0302900,Cell wall responsive gene,-0.179608116399011,0.912941919753241,-1.73210216039949,3.36324460278714e-08,False,True
Os05g0477600,Cell wall responsive gene,-0.149470715638104,0.955640328360214,-1.89949847721905,1.62383770551827e-06,False,True
