transcript_id,DC1,DC2,DN1,DN2,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os03t0183100-01,1780,194,923,1336,109,204,110,2738,581,967,1146
Os03t0183200-01,1311,1526,1305,1013,9833,9757,9070,8755,1693,2756,2994
Os03t0183000-02,45191,47594,38208,35310,76072,72642,73317,48025,24965,42625,40567
Os03t0183000-03,92,4,1,0,10,13,1,9,4,0,0
Os03t0183000-01,712,1494,966,859,1814,1725,1692,1542,1308,1390,1466
Os03t0183050-00,112,121,101,94,356,289,241,155,32,62,111
Os03t0183500-01,246,52,50,51,3,8,28,14,8,27,34
Os03t0183300-02,370,0,0,0,799,834,842,0,0,0,0
Os03t0183300-01,9071,9334,6142,6649,20937,20708,20626,26368,6904,10114,11529
Os03t0183600-00,616,795,800,787,1649,1913,1493,965,853,852,1049
Os03t0183900-01,28,36,20,11,10,23,16,5,5,21,9
Os03t0183800-01,6643,7564,7068,5798,3573,3818,3489,4029,3978,5384,6127
Os03t0184000-01,2417,2596,2376,1724,4228,4263,2967,4117,1715,2163,2256
Os03t0184100-01,1905,2222,1455,1123,2778,2426,2091,3353,1000,1547,1297
Os03t0184300-01,354,343,525,302,145,152,0,203,564,1481,1602
Os03t0184300-02,1419,1029,1084,1449,284,223,664,1074,1846,289,469
Os03t0184400-01,55,47,0,10,21,9,7,26,0,8,4
Os03t0184500-01,826,966,624,777,126,149,248,651,891,1864,1394
Os03t0184550-01,603,155,29,49,1643,1599,1447,1911,134,175,171
Os03t0184600-01,2274,2188,1974,2022,3349,3045,2913,3157,1763,2241,2689
Os03t0185000-01,29,91,18,21,129,130,147,112,22,100,32
Os03t0184700-01,1819,1964,1413,1652,1331,1636,1271,1736,1257,1805,1647
Os03t0185400-01,195,344,179,220,0,7,18,0,0,0,12
Os03t0185200-01,194,212,194,156,200,211,191,157,111,76,145
Os03t0185300-01,726,712,579,841,585,717,748,811,567,850,857
Os03t0176100-00,0,11,6,0,5,0,0,8,6,0,2
Os03t0176200-00,0,0,0,0,0,0,0,0,0,0,7
Os03t0176300-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0176500-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0178150-00,0,0,0,0,0,0,0,0,0,0,0
Os03t0178600-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0180300-02,0,0,0,0,0,27,0,0,43,0,0
Os03t0180500-02,0,0,35,0,0,0,0,0,0,0,0
Os03t0180500-01,0,0,0,0,0,0,0,0,0,0,0
Os03t0181400-01,0,0,0,0,110,92,33,67,71,33,84
Os03t0181500-01,0,0,0,0,0,0,29,0,0,0,0
Os03t0181675-00,0,3,0,0,0,0,0,0,0,0,4
Os03t0182600-03,0,0,0,0,0,0,0,0,0,0,0
Os03t0174500-01,4366,5015,4563,4459,5121,5000,5324,6545,6691,8469,7780
Os03t0174600-01,933,608,610,562,1104,1082,984,1068,7,713,473
Os03t0174600-02,133,304,73,0,342,277,218,134,601,0,231
Os03t0174800-01,1037,1165,1023,993,1708,1738,1627,1728,1134,1655,1531
Os03t0174900-02,6307,5634,3478,3799,7114,7575,7006,8200,6811,11924,8563
Os03t0174900-01,4591,4975,3689,2610,6704,6436,4649,4878,3214,6272,4983
Os03t0175200-01,519,533,417,321,431,544,560,468,197,459,379
Os03t0175600-01,3744,3854,3184,3162,3294,2901,3559,4220,3439,4029,4121
Os03t0175800-01,457,331,204,357,140,189,156,247,74,153,93
Os03t0176700-00,883,723,318,442,861,606,359,667,185,190,230
Os03t0176800-01,95,139,41,51,91,58,61,15,0,0,29
Os03t0176900-01,38,58,37,68,17,19,23,68,47,35,40
Os03t0177000-01,1474,1356,786,802,1732,1729,1186,1475,808,1319,976
Os03t0177100-01,1516,1836,1502,1341,2156,2435,1326,1006,885,1221,898
Os03t0177300-01,1512,1702,871,890,1765,1767,1855,1697,1001,1351,1078
Os03t0177400-01,96229,106161,84903,101068,61953,68921,63673,80024,68704,90890,83818
Os03t0177500-01,82902,90932,69727,86057,53700,60095,54764,68942,51435,70612,69437
Os03t0177900-01,70717,79632,59869,77536,43688,47663,46867,60981,54063,69807,61900
Os03t0177900-02,953,1387,770,996,534,714,405,630,1449,389,3536
Os03t0177966-01,340,408,499,346,968,1240,519,335,159,155,217
Os03t0178000-01,118973,125426,89349,110919,77122,87557,84177,97621,75202,93894,91259
Os03t0178000-02,165,162,200,183,827,285,741,517,107,60,54
Os03t0178066-01,740,540,391,487,948,836,622,851,464,552,537
Os03t0178100-00,2098,2107,1231,1308,3106,3296,2009,2312,687,1032,1066
Os03t0178200-01,631,469,231,280,362,308,127,768,152,208,143
Os03t0178300-01,6,37,10,6,15,19,15,25,4,5,8
Os03t0178400-01,561,633,705,769,165,189,285,528,807,711,736
Os03t0178500-01,159,179,298,225,54,103,80,195,222,277,384
Os03t0178550-01,80,32,36,52,13,10,4,59,16,20,48
Os03t0179000-02,2249,2407,2140,2207,2763,2822,2380,2573,1600,2976,2686
Os03t0179000-01,39,4,0,0,0,15,12,0,0,0,0
Os03t0179100-00,102,148,145,71,60,71,87,150,124,152,120
Os03t0179200-01,22,30,24,12,61,79,48,44,23,12,22
Os03t0179400-01,957,1252,1459,1149,1747,1702,2475,1688,606,1493,1164
Os03t0179700-00,24,0,23,0,28,0,43,31,0,0,4
Os03t0179750-01,20,26,20,18,12,17,33,28,0,0,28
Os03t0179900-01,1895,1972,1338,1788,1290,1298,1246,1781,967,1540,1773
Os03t0179950-00,38,34,54,62,37,53,37,36,44,53,45
Os03t0180000-00,1162,1237,1033,958,1855,1886,1532,1494,666,1480,1331
Os03t0180100-01,1637,1522,1640,1262,1423,1331,1175,1438,1208,1886,1632
Os03t0180300-01,4110,4536,2896,2583,6029,6092,4608,4927,2636,3927,3580
Os03t0180300-03,15,107,88,229,182,175,90,85,21,259,92
Os03t0180400-01,12541,12427,9716,12311,10048,9972,11747,12536,12795,15069,15576
Os03t0180600-01,42,56,33,28,24,26,6,42,65,0,18
Os03t0180700-01,1485,1530,1101,1045,1438,1552,1024,1201,768,1268,1156
Os03t0180800-01,26,22,8,26,73,36,42,35,22,4,19
Os03t0180900-01,52,41,28,49,168,93,145,189,117,131,183
Os03t0181100-01,461,109,151,235,237,44,61,179,129,113,192
Os03t0181600-02,983,914,1045,807,1674,1633,1339,882,422,534,688
Os03t0181750-00,24,19,34,11,9,17,0,3,14,0,0
Os03t0181800-01,1678,1389,2016,2002,1181,1341,1157,1211,1974,1450,1768
Os03t0182000-00,17,17,0,0,72,92,119,194,138,114,306
Os03t0182350-01,7,7,6,13,8,8,8,2,2,0,4
